edges/dates,2017-12,2019-9,2019-11,2019-12,2020-1,2020-2,2020-3,2020-4
Colombia->India,0,0,0,0,6,11,0,0
India->Chile,0,0,0,0,0,46,0,0
Spain->India,0,0,0,0,42,93,0,0
DemocraticRepublicoftheCongo->Iceland,0,0,0,38,43,0,0,0
DemocraticRepublicoftheCongo->Germany,0,0,0,48,91,0,100,0
Germany->Luxembourg,0,0,0,0,37,40,30,0
Colombia->Switzerland,0,0,0,0,41,0,0,0
Switzerland->Spain,0,0,0,71,100,23,0,0
Spain->Luxembourg,0,0,0,24,36,39,0,0
Spain->Italy,0,0,0,20,66,138,0,0
Luxembourg->Finland,0,0,0,0,7,100,0,0
India->France,0,0,0,0,16,1,0,0
India->Greece,0,0,0,0,40,0,0,0
Hungary->Colombia,0,0,0,0,33,38,0,0
Hungary->DemocraticRepublicoftheCongo,0,0,0,0,34,0,0,0
DemocraticRepublicoftheCongo->Belgium,0,0,0,0,101,5,127,0
DemocraticRepublicoftheCongo->Georgia,0,0,0,0,119,28,0,0
DemocraticRepublicoftheCongo->Australia,0,0,0,0,88,0,5,0
DemocraticRepublicoftheCongo->Italy,0,0,0,6,86,38,0,0
DemocraticRepublicoftheCongo->Netherlands,0,0,0,0,37,11,0,0
DemocraticRepublicoftheCongo->Senegal,0,0,0,0,22,0,0,0
Germany->Argentina,0,0,0,52,100,28,30,0
Germany->Denmark,0,0,0,17,143,0,0,0
USA->Spain,0,0,11,105,10,33,0,0
Denmark->Vietnam,0,0,0,25,51,0,0,0
DemocraticRepublicoftheCongo->Portugal,0,0,0,0,8,54,3,0
DemocraticRepublicoftheCongo->NewZealand,0,0,0,0,23,12,10,0
DemocraticRepublicoftheCongo->USA,0,0,0,7,95,40,0,0
Australia->France,0,0,0,0,16,27,0,0
Australia->Luxembourg,0,0,0,0,0,1,23,0
Australia->Oman,0,0,5,0,0,0,118,0
Australia->Belgium,0,0,0,11,0,3,100,0
Luxembourg->Portugal,0,0,0,0,0,38,36,0
France->CzechRepublic,0,0,0,0,100,12,0,0
France->Vietnam,0,0,0,0,100,0,0,0
DemocraticRepublicoftheCongo->Canada,0,0,0,0,25,5,38,0
DemocraticRepublicoftheCongo->Turkey,0,0,0,0,44,0,0,0
Turkey->SaudiArabia,0,0,2,2,42,1,152,0
Turkey->Belgium,0,0,0,0,0,0,100,0
Turkey->Latvia,0,0,0,0,0,0,100,0
SaudiArabia->India,0,0,0,0,128,38,0,0
SaudiArabia->Bangladesh,0,0,0,0,29,0,35,0
India->Turkey,0,0,0,0,99,0,0,0
SaudiArabia->Finland,0,0,0,0,0,35,31,0
SaudiArabia->Turkey,0,0,0,1,115,0,148,0
Finland->Austria,0,0,0,0,39,0,35,0
Finland->Sweden,0,0,0,0,56,0,100,0
Finland->UnitedKingdom,0,0,0,4,0,0,100,0
SaudiArabia->Jordan,0,0,0,0,167,0,0,0
India->Australia,0,0,0,0,213,0,53,0
India->Malaysia,0,0,0,0,69,35,253,0
Malaysia->SaudiArabia,0,0,0,0,38,0,0,0
Canada->USA,0,0,0,0,67,24,47,0
Canada->Brazil,0,0,0,0,52,58,0,0
Brazil->Colombia,0,0,0,0,0,51,0,0
Brazil->Greece,0,0,0,0,0,17,0,0
Greece->Finland,0,0,0,0,0,20,0,0
Finland->USA,0,0,0,0,71,28,0,0
Canada->Japan,0,0,0,0,0,101,0,0
Japan->Canada,0,0,0,0,0,66,0,0
Canada->Colombia,0,0,0,0,0,83,35,0
Brazil->Nigeria,0,0,0,0,52,0,0,0
USA->Romania,0,0,0,0,100,0,0,0
USA->Argentina,0,0,0,4,77,12,22,0
Argentina->NewZealand,0,0,0,0,14,0,20,0
Argentina->Norway,0,0,0,1,7,0,20,0
DemocraticRepublicoftheCongo->Norway,0,0,0,0,74,0,0,0
DemocraticRepublicoftheCongo->Singapore,0,0,0,0,76,0,10,0
DemocraticRepublicoftheCongo->Morocco,0,0,0,0,54,8,0,0
Colombia->Canada,0,0,0,0,0,29,42,0
USA->Australia,0,0,8,2,116,209,8,0
Netherlands->Morocco,0,0,0,0,0,15,0,0
Morocco->Belgium,0,0,0,0,0,169,0,0
France->Sweden,0,0,17,0,22,0,0,0
Sweden->Austria,0,0,0,0,31,0,36,0
Austria->Norway,0,0,0,3,0,0,31,0
Sweden->Israel,0,0,0,0,155,0,27,0
Sweden->Chile,0,0,0,20,46,0,0,0
Sweden->Finland,0,0,0,0,3,0,0,0
Sweden->Iceland,0,0,0,3,29,1,0,0
Finland->France,0,0,0,0,23,0,0,0
France->Senegal,0,0,0,0,41,0,100,0
Finland->Georgia,0,0,0,0,39,0,0,0
Sweden->BosniaandHerzegovina,0,0,0,33,0,84,0,0
Belgium->Denmark,0,0,0,0,0,72,0,0
Belgium->Oman,0,0,0,0,0,38,30,0
Belgium->USA,0,0,0,0,0,100,0,0
Hungary->Portugal,0,0,0,0,0,100,0,0
Portugal->Belgium,0,0,0,0,0,113,0,0
Israel->CzechRepublic,0,0,0,0,0,0,31,0
CzechRepublic->Spain,0,0,0,0,0,0,32,0
CzechRepublic->Hungary,0,0,0,0,0,0,15,0
Hungary->Germany,0,0,0,0,0,11,17,0
Hungary->Netherlands,0,0,0,0,0,0,13,0
Netherlands->Australia,0,0,0,0,0,0,20,0
Australia->Italy,0,0,0,0,15,0,69,0
Australia->Austria,0,0,0,13,0,0,129,0
Australia->Israel,0,0,0,0,0,0,67,0
Australia->Hungary,0,0,0,0,0,6,36,0
Hungary->Bangladesh,0,0,0,0,0,0,35,0
Sweden->Australia,0,0,21,0,100,0,0,0
Sweden->France,0,0,5,21,61,111,40,0
Sweden->UnitedKingdom,0,0,0,10,9,0,34,0
Sweden->Belgium,0,0,0,0,100,11,0,0
Denmark->Norway,0,0,0,0,46,33,0,0
Denmark->USA,0,0,0,0,52,7,0,0
USA->NewZealand,0,0,0,0,70,71,60,0
USA->Israel,0,0,0,0,147,0,0,0
USA->Netherlands,0,0,0,0,17,3,28,0
USA->Morocco,0,0,0,0,101,0,0,0
Israel->Kazakhstan,0,0,0,0,0,0,100,0
Israel->Argentina,0,0,0,0,0,4,113,0
Israel->NewZealand,0,0,0,0,0,0,100,0
Israel->UnitedArabEmirates,0,0,0,0,100,0,0,0
Israel->Colombia,0,0,0,0,200,2,0,0
Israel->France,0,0,0,0,122,76,13,0
Israel->Switzerland,0,0,0,0,100,65,0,0
Israel->Singapore,0,0,0,0,100,2,0,0
Israel->Germany,0,0,0,0,100,2,9,0
Germany->Chile,0,0,0,2,98,0,0,0
Luxembourg->Argentina,0,0,0,0,0,1,41,0
Germany->Hungary,0,0,0,0,0,47,35,0
Hungary->Austria,0,0,0,0,0,31,45,0
Hungary->Israel,0,0,0,0,0,15,14,0
Hungary->Canada,0,0,0,0,0,20,0,0
Canada->France,0,0,0,0,0,35,8,0
France->Denmark,0,0,0,0,0,26,0,0
France->Norway,0,0,0,39,0,51,0,0
France->Colombia,0,0,0,0,3,75,3,0
Colombia->Netherlands,0,0,0,0,0,33,0,0
Colombia->France,0,0,0,0,3,94,0,0
Singapore->Taiwan,0,0,68,0,0,0,33,0
Netherlands->BosniaandHerzegovina,0,0,0,2,0,0,41,0
Denmark->Senegal,0,0,0,0,59,28,0,0
Senegal->Germany,0,0,0,27,34,0,0,0
Germany->Israel,0,0,0,0,79,6,4,0
Israel->Brazil,0,0,0,0,30,0,0,0
Brazil->France,0,0,0,0,41,0,0,0
Finland->Denmark,0,0,0,0,87,19,0,0
Finland->Canada,0,0,0,0,35,0,0,0
Finland->Chile,0,0,0,0,41,80,0,0
Denmark->NewZealand,0,0,0,0,53,0,100,0
France->Hungary,0,0,0,0,10,45,0,0
SaudiArabia->Poland,0,0,0,0,97,0,0,0
SaudiArabia->Brazil,0,0,0,0,0,98,0,0
China->Turkey,0,0,0,41,8,0,0,0
China->UnitedArabEmirates,0,0,278,152,71,1,13,0
UnitedArabEmirates->Oman,0,0,0,0,66,5,0,0
UnitedArabEmirates->Canada,0,0,0,0,7,11,0,0
Canada->Turkey,0,0,0,0,7,0,0,0
Canada->Australia,0,0,0,0,7,41,0,0
Canada->India,0,0,0,0,15,0,0,0
Canada->Norway,0,0,0,0,0,80,0,0
Australia->Georgia,23,0,0,0,121,0,0,0
Oman->Turkey,0,0,0,0,78,61,0,0
Turkey->Kazakhstan,0,0,0,0,0,28,0,0
UnitedArabEmirates->Uganda,0,0,0,0,0,1,102,0
UnitedArabEmirates->Taiwan,0,0,27,0,13,23,54,0
UnitedArabEmirates->Turkey,0,0,0,0,33,4,0,0
Turkey->Canada,0,0,0,0,97,4,0,0
Turkey->Germany,0,0,17,0,0,62,0,0
Germany->Taiwan,0,0,23,0,0,35,0,0
Turkey->UnitedArabEmirates,0,0,0,0,97,0,0,0
Turkey->Thailand,0,0,9,0,30,0,0,0
UnitedArabEmirates->Australia,0,0,0,0,244,5,0,0
UnitedArabEmirates->HongKong,0,0,0,14,100,0,0,0
HongKong->China,0,0,0,80,195,0,0,0
China->Australia,0,14,49,201,117,0,0,0
Australia->NewZealand,0,0,23,0,23,0,0,0
China->Germany,0,0,105,0,0,0,0,0
China->Sweden,0,0,10,0,0,0,0,0
China->NewZealand,0,0,27,0,39,0,0,0
China->Senegal,0,0,46,0,0,0,0,0
China->France,0,0,100,100,0,0,0,0
China->HongKong,0,0,101,86,5,0,0,0
China->Poland,0,0,116,0,0,0,0,0
China->Oman,0,0,129,24,24,0,0,0
China->Vietnam,0,0,100,163,0,0,0,0
China->USA,0,0,191,157,311,0,18,0
USA->Taiwan,0,0,192,35,6,295,7,0
China->Iceland,0,0,38,0,0,0,32,0
China->Thailand,0,12,219,140,0,0,0,0
China->Belgium,0,0,100,68,0,0,0,0
China->Taiwan,0,0,210,139,113,25,13,0
UnitedArabEmirates->Germany,0,0,9,13,1,3,0,0
UnitedArabEmirates->SouthKorea,0,0,28,0,0,0,0,0
SouthKorea->China,0,12,8,27,152,0,0,0
SouthKorea->SouthAfrica,0,0,16,0,0,0,0,0
SouthKorea->USA,0,0,48,0,41,0,0,0
USA->Singapore,0,0,220,16,134,36,0,0
USA->Oman,0,0,100,0,0,0,0,0
USA->Thailand,0,0,100,0,0,0,0,0
USA->Kazakhstan,0,0,10,3,10,0,0,0
Kazakhstan->France,0,0,0,0,69,0,0,0
Kazakhstan->Spain,0,0,0,0,39,0,100,0
Spain->Australia,0,0,0,7,97,0,2,0
Singapore->Malaysia,0,0,7,23,25,265,200,0
Malaysia->Thailand,0,0,116,0,24,0,0,0
Singapore->Spain,0,0,11,113,6,8,0,0
Singapore->SouthKorea,0,0,5,72,0,0,0,0
China->Japan,0,0,0,134,0,0,0,0
China->Mexico,0,0,12,200,0,0,25,0
China->Uruguay,0,0,0,100,0,0,0,0
Uruguay->Mexico,0,0,0,0,0,100,0,0
Uruguay->Colombia,0,0,0,0,0,100,0,0
Uruguay->UnitedKingdom,0,0,0,0,0,0,100,0
China->India,0,0,24,104,37,12,0,0
China->Chile,0,0,0,165,0,0,0,0
Chile->Belgium,0,0,0,32,0,0,0,0
China->Jordan,0,0,0,100,0,0,0,0
Japan->Greece,0,0,0,24,49,70,0,0
Japan->Taiwan,0,0,0,27,49,0,0,0
Singapore->SaudiArabia,0,0,12,34,6,0,0,0
China->SouthKorea,0,9,25,10,250,0,0,0
China->SaudiArabia,5,0,4,79,5,0,0,0
HongKong->India,0,0,0,0,100,0,0,0
HongKong->Spain,0,0,0,100,0,0,0,0
HongKong->Australia,0,0,0,108,100,27,0,0
HongKong->Singapore,0,0,0,61,0,0,0,0
USA->Malaysia,0,0,0,0,100,0,0,0
USA->Mexico,0,0,0,0,0,164,34,0
USA->Uruguay,0,0,0,0,0,100,0,0
Taiwan->Australia,0,0,15,17,0,51,0,0
Mexico->NewZealand,0,0,0,0,0,29,0,0
SaudiArabia->USA,0,0,0,9,20,0,0,0
Australia->Nigeria,0,0,0,0,100,0,0,0
Australia->Uganda,0,0,0,0,64,0,0,0
Uganda->Nigeria,0,0,0,0,100,0,0,0
Uganda->SaudiArabia,0,0,0,0,11,0,24,0
SaudiArabia->Senegal,0,0,0,0,0,0,11,0
SaudiArabia->Oman,0,0,0,25,100,200,0,0
SaudiArabia->Uganda,0,0,0,0,66,0,0,0
USA->SouthKorea,0,0,131,100,35,0,0,0
Germany->Thailand,0,0,13,100,0,0,0,0
Germany->China,0,0,23,112,0,0,0,0
Germany->HongKong,0,0,94,77,0,0,0,0
HongKong->NewZealand,0,0,0,27,0,0,0,0
HongKong->Austria,0,0,0,44,0,0,0,0
Austria->Denmark,0,0,0,34,0,0,0,0
Austria->Australia,0,0,0,21,0,0,106,0
Austria->Vietnam,0,0,0,16,0,7,0,0
Netherlands->Taiwan,0,0,0,1,0,102,0,0
Germany->Malaysia,0,0,39,0,0,0,0,0
Germany->Norway,0,0,39,6,0,0,0,0
Malaysia->Japan,0,0,100,0,164,0,0,0
Thailand->Malaysia,0,0,128,0,46,0,0,0
Taiwan->China,0,0,102,0,0,43,0,0
Malaysia->Canada,0,0,6,5,0,0,0,0
Malaysia->Singapore,0,0,3,5,0,0,0,0
China->Malaysia,0,0,0,100,0,0,0,0
China->UnitedKingdom,0,0,0,100,4,0,0,0
China->Colombia,0,0,0,67,0,0,0,0
Colombia->Vietnam,0,0,0,37,0,0,0,0
China->Finland,0,0,0,100,0,0,0,0
Malaysia->Taiwan,0,0,64,0,0,0,0,0
Malaysia->Chile,0,0,0,0,0,100,0,0
Malaysia->Greece,0,0,0,0,100,0,0,0
Japan->Australia,0,0,0,0,39,112,96,0
Japan->Singapore,0,0,52,0,100,0,0,0
Japan->China,0,0,0,36,100,0,0,0
Malaysia->Colombia,0,0,0,0,0,100,0,0
Malaysia->USA,0,0,0,0,0,100,0,0
Malaysia->Iceland,0,0,0,0,0,32,44,0
Malaysia->UnitedKingdom,0,0,0,0,0,15,29,0
UnitedKingdom->NewZealand,0,0,0,16,52,67,40,0
Iceland->USA,0,0,0,0,0,0,29,0
Iceland->Mexico,0,0,0,0,0,0,29,0
UnitedKingdom->HongKong,0,0,0,0,1,0,0,0
HongKong->SouthKorea,0,0,0,0,96,0,0,0
HongKong->Thailand,0,0,0,0,96,0,0,0
Singapore->India,0,0,0,8,242,162,300,0
Singapore->UnitedKingdom,0,0,50,23,0,66,0,0
Spain->NewZealand,0,0,0,0,30,39,38,0
UnitedKingdom->SouthKorea,0,0,0,41,26,0,0,0
UnitedKingdom->Norway,0,0,0,100,0,0,0,0
NewZealand->Chile,0,0,0,0,0,31,0,0
Jordan->Greece,0,0,0,0,26,0,100,0
Jordan->Netherlands,0,0,0,0,0,0,100,0
UnitedKingdom->Nigeria,0,0,0,0,47,0,0,0
Nigeria->Jordan,0,0,0,0,85,0,0,0
Greece->Brazil,0,0,0,0,100,10,0,0
Greece->Singapore,0,0,0,0,100,0,0,0
Greece->USA,0,0,0,0,34,29,39,0
Greece->Canada,0,0,0,0,27,0,39,0
Greece->NewZealand,0,0,0,0,100,0,0,0
Greece->Nigeria,0,0,0,0,100,0,0,0
UnitedKingdom->Oman,0,0,0,24,0,0,73,0
Iceland->Brazil,0,0,0,22,0,7,0,0
Brazil->DemocraticRepublicoftheCongo,0,0,0,16,0,0,16,0
Brazil->Luxembourg,0,0,0,20,0,27,16,0
UnitedKingdom->BosniaandHerzegovina,0,0,0,100,0,0,0,0
UnitedKingdom->Greece,0,0,0,100,46,0,0,0
NewZealand->Netherlands,0,0,0,25,10,0,0,0
NewZealand->Thailand,0,0,0,0,0,33,0,0
Netherlands->Israel,0,0,0,0,0,100,0,0
Netherlands->Jordan,0,0,0,0,0,64,0,0
Jordan->Uruguay,0,0,0,0,0,33,0,0
Spain->Bangladesh,0,0,0,100,0,0,0,0
Spain->Malaysia,0,0,0,0,100,0,0,0
Spain->Morocco,0,0,0,0,100,0,0,0
Spain->Belgium,0,0,0,0,100,0,0,0
Spain->Hungary,0,0,0,0,36,0,57,0
Hungary->NewZealand,0,0,0,0,1,0,32,0
Spain->Chile,0,0,0,30,0,24,100,0
Morocco->Bangladesh,0,0,0,0,0,100,0,0
Morocco->Australia,0,0,0,0,100,0,0,0
Morocco->Italy,0,0,0,0,100,22,0,0
Morocco->Georgia,0,0,0,0,0,109,0,0
Morocco->Portugal,0,0,0,0,0,66,27,0
Morocco->Chile,0,0,0,0,0,117,42,0
Morocco->India,0,0,0,0,0,6,100,0
India->SouthAfrica,0,0,0,16,99,0,0,0
India->Taiwan,0,0,1,0,199,34,0,0
India->Oman,0,0,0,0,100,0,0,0
India->Singapore,0,0,0,0,113,0,0,0
India->SaudiArabia,0,0,0,0,174,0,0,0
France->Germany,0,0,0,21,100,0,0,0
Georgia->SaudiArabia,23,0,0,0,0,0,0,0
Georgia->Australia,22,12,0,0,14,0,0,0
Australia->China,0,46,18,21,0,0,0,0
Australia->SouthKorea,0,10,25,0,0,0,0,0
Australia->Thailand,0,10,33,33,5,0,0,0
Australia->HongKong,0,0,14,0,0,18,0,0
Australia->Taiwan,0,0,23,18,0,0,0,0
Oman->Singapore,0,0,16,0,0,0,0,0
HongKong->Sweden,0,0,3,0,0,0,0,0
HongKong->Taiwan,0,0,5,0,0,0,0,0
HongKong->Georgia,0,0,12,0,0,0,0,0
HongKong->Italy,0,0,30,0,0,0,0,0
Norway->Italy,0,0,70,1,0,0,0,0
Italy->China,0,0,8,0,0,3,0,0
Italy->Taiwan,0,0,27,1,0,34,0,0
India->USA,0,0,38,0,14,0,0,0
USA->Belgium,0,0,73,0,0,0,0,0
UnitedKingdom->Australia,0,0,31,84,0,0,30,0
Thailand->China,0,12,39,37,0,0,0,0
Austria->SaudiArabia,0,0,0,98,0,0,0,0
Germany->Switzerland,0,0,0,44,17,0,0,0
Senegal->Poland,0,0,0,32,0,0,0,0
Poland->SouthAfrica,0,0,0,4,0,0,5,0
Poland->UnitedArabEmirates,0,0,0,29,0,15,0,0
SouthAfrica->BosniaandHerzegovina,0,0,0,20,0,0,0,0
SouthAfrica->Luxembourg,0,0,0,8,0,0,0,0
SouthAfrica->Iceland,0,0,0,21,0,0,0,0
SouthAfrica->India,0,0,0,36,0,0,0,0
Uganda->China,0,0,0,38,0,0,0,0
UnitedKingdom->Sweden,0,0,0,4,0,0,0,0
BosniaandHerzegovina->Austria,0,0,0,37,0,0,18,0
Italy->Kazakhstan,0,0,0,17,0,0,0,0
Italy->Oman,0,0,0,17,0,15,0,0
Italy->Brazil,0,0,0,17,0,42,0,0
Italy->Uganda,0,0,0,18,0,0,0,0
Italy->Austria,0,0,0,21,0,10,0,0
Spain->Norway,0,0,0,20,0,0,0,0
Norway->Chile,0,0,0,16,0,0,0,0
Senegal->Sweden,0,0,1,17,0,0,0,0
Senegal->Russia,0,0,0,14,0,0,0,0
Sweden->DemocraticRepublicoftheCongo,0,0,0,31,4,0,13,0
Latvia->Chile,0,0,0,33,0,0,0,0
Chile->France,0,0,0,32,16,2,0,0
France->Uganda,0,0,0,74,0,0,0,0
Switzerland->Argentina,0,0,0,23,0,0,6,0
Argentina->Germany,0,0,0,34,0,0,0,0
Germany->Iceland,0,0,0,9,6,0,0,0
UnitedKingdom->Finland,0,0,0,12,0,0,0,0
Finland->India,0,0,0,13,0,0,0,0
Finland->Italy,0,0,0,34,0,4,0,0
UnitedKingdom->Russia,0,0,0,92,0,0,0,0
UnitedKingdom->Bangladesh,0,0,0,40,0,21,0,0
Sweden->Netherlands,0,0,0,2,0,0,0,0
Sweden->CzechRepublic,0,0,0,0,0,23,0,0
Portugal->Turkey,0,0,0,0,0,0,48,0
Germany->Bangladesh,0,0,0,20,0,0,0,0
Germany->UnitedArabEmirates,0,0,22,29,0,0,0,0
Belgium->Poland,0,0,0,0,0,13,10,0
Morocco->UnitedKingdom,0,0,0,0,0,55,53,0
Bangladesh->Denmark,0,0,0,0,0,35,30,0
Austria->Brazil,0,0,0,0,3,39,0,0
Italy->Vietnam,0,0,0,22,0,39,2,0
Vietnam->Morocco,0,0,0,0,0,49,0,0
Finland->Portugal,0,0,0,0,0,21,0,0
Portugal->Argentina,0,0,0,0,0,40,0,0
UnitedKingdom->Georgia,0,0,0,0,0,53,14,0
Denmark->CzechRepublic,0,0,0,0,0,0,35,0
Chile->Argentina,0,0,0,0,0,101,0,0
Switzerland->Singapore,0,0,0,67,0,0,0,0
Singapore->Netherlands,0,0,0,30,2,5,0,0
Vietnam->Russia,0,0,0,54,0,0,0,0
Vietnam->Australia,0,0,0,91,0,0,0,0
Vietnam->Argentina,0,0,0,53,0,7,14,0
Vietnam->UnitedKingdom,0,0,0,45,0,36,0,0
Italy->Denmark,0,0,0,25,0,0,0,0
Poland->Israel,0,0,0,0,0,38,0,0
Poland->Chile,0,0,0,0,0,38,32,0
Poland->CzechRepublic,0,0,0,0,0,66,0,0
Australia->Poland,0,0,0,0,0,29,0,0
Mexico->Morocco,0,0,0,0,0,18,0,0
Portugal->Iceland,0,0,0,0,0,31,0,0
Iceland->Austria,0,0,0,0,0,21,0,0
Iceland->Switzerland,0,0,0,6,7,19,0,0
Netherlands->Georgia,0,0,0,0,0,36,0,0
Portugal->Russia,0,0,0,0,0,66,0,0
Netherlands->Canada,0,0,0,0,0,9,38,0
Chile->Australia,0,0,0,0,0,0,38,0
Portugal->Luxembourg,0,0,0,0,0,29,40,0
Vietnam->Austria,0,0,0,31,0,5,26,0
Vietnam->Switzerland,0,0,0,20,0,5,26,0
Singapore->Jordan,0,0,0,80,9,0,0,0
Singapore->Uganda,0,0,0,11,11,0,0,0
Uganda->BosniaandHerzegovina,0,0,0,18,16,0,0,0
Uganda->India,0,0,0,20,41,0,0,0
Switzerland->Kazakhstan,0,0,0,0,0,0,2,0
Switzerland->SouthAfrica,0,0,0,11,0,0,44,0
UnitedKingdom->Morocco,0,0,0,0,0,78,19,0
Morocco->Switzerland,0,0,0,0,0,29,0,0
UnitedKingdom->Colombia,0,0,0,26,0,0,36,0
UnitedKingdom->Luxembourg,0,0,0,31,0,21,39,0
Japan->CzechRepublic,0,0,0,0,0,20,96,0
Japan->Poland,0,0,0,0,0,0,72,0
Belgium->Finland,0,0,0,18,0,30,0,0
Finland->DemocraticRepublicoftheCongo,0,0,0,0,0,9,0,0
Portugal->Hungary,0,0,0,0,0,73,0,0
Portugal->Colombia,0,0,0,0,0,57,0,0
Colombia->Jordan,0,0,0,0,0,27,0,0
Germany->Japan,0,0,0,0,0,46,0,0
Japan->Portugal,0,0,0,0,0,90,0,0
Greece->Israel,0,0,0,0,0,43,0,0
Belgium->Vietnam,0,0,0,0,0,13,0,0
Switzerland->Latvia,0,0,0,71,0,0,0,0
Latvia->Romania,0,0,0,36,0,12,0,0
Switzerland->Portugal,0,0,0,15,0,16,10,0
Hungary->Greece,0,0,0,0,19,8,0,0
Hungary->Latvia,0,0,0,0,0,14,0,0
Hungary->Belgium,0,0,0,0,0,41,0,0
Belgium->Brazil,0,0,0,0,0,35,0,0
Latvia->Poland,0,0,0,5,0,6,0,0
Latvia->Italy,0,0,0,0,49,32,0,0
Latvia->Australia,0,0,0,0,0,34,0,0
Chile->Italy,0,0,0,7,0,42,0,0
Italy->India,0,0,7,15,0,42,0,0
UnitedKingdom->Senegal,0,0,0,0,0,5,0,0
UnitedKingdom->Chile,0,0,0,0,33,80,10,0
Georgia->Israel,0,0,0,0,0,15,1,0
Luxembourg->USA,0,0,0,0,3,36,0,0
Taiwan->Sweden,0,0,13,0,4,41,0,0
Turkey->Norway,0,0,0,0,6,35,0,0
Norway->Sweden,0,0,0,9,0,32,0,0
Chile->Denmark,0,0,0,0,5,36,0,0
Denmark->Austria,0,0,0,12,0,77,0,0
Austria->Israel,0,0,0,0,1,58,13,0
Vietnam->Canada,0,0,0,0,0,10,12,0
Argentina->Canada,0,0,0,0,0,0,69,0
Canada->Israel,0,0,0,0,0,42,38,0
USA->Georgia,0,0,8,0,0,43,0,0
Uruguay->Netherlands,0,0,0,31,0,0,0,0
Argentina->Australia,0,0,0,33,0,0,0,0
Argentina->Senegal,0,0,0,38,0,0,0,0
Taiwan->Norway,0,0,0,0,0,30,0,0
Luxembourg->Spain,0,0,0,17,0,5,0,0
Luxembourg->DemocraticRepublicoftheCongo,0,0,0,0,0,5,38,0
Portugal->USA,0,0,0,0,3,44,0,0
Sweden->Luxembourg,0,0,0,18,0,39,0,0
Luxembourg->UnitedArabEmirates,0,0,0,3,0,40,0,0
Luxembourg->Germany,0,0,0,0,13,69,0,0
Germany->Greece,0,0,0,0,0,36,0,0
Taiwan->Romania,0,0,0,0,0,0,38,0
SaudiArabia->Taiwan,0,0,0,16,0,16,0,0
Iceland->UnitedKingdom,0,0,0,0,0,0,52,0
Mexico->Austria,0,0,0,0,0,31,0,0
Chile->Portugal,0,0,0,0,0,35,0,0
Canada->Belgium,0,0,0,0,0,0,37,0
Iceland->Finland,0,0,0,0,39,0,0,0
Spain->Greece,0,0,0,0,14,0,0,0
Greece->France,0,0,0,0,5,0,0,0
Greece->India,0,0,0,0,16,0,0,0
Greece->Colombia,0,0,0,0,12,6,0,0
Colombia->DemocraticRepublicoftheCongo,0,0,0,0,40,0,0,0
Germany->DemocraticRepublicoftheCongo,0,0,0,4,72,0,0,0
Spain->Vietnam,0,0,0,0,13,4,2,0
Spain->USA,0,0,0,0,0,39,0,0
Vietnam->Denmark,0,0,0,20,70,0,0,0
NewZealand->Georgia,0,0,0,0,37,18,0,0
NewZealand->Portugal,0,0,0,0,0,47,0,0
Luxembourg->Australia,0,0,0,0,0,0,21,0
India->Bangladesh,0,0,0,0,28,0,0,0
SaudiArabia->Austria,0,0,0,42,0,34,31,0
USA->Nigeria,0,0,0,0,1,15,0,0
USA->Brazil,0,0,0,0,12,5,0,0
USA->Greece,0,0,0,0,0,20,0,0
USA->Finland,0,0,0,0,0,49,0,0
Nigeria->Japan,0,0,0,0,1,0,0,0
Nigeria->Brazil,0,0,0,0,24,0,0,0
NewZealand->Argentina,0,0,0,0,10,0,0,0
NewZealand->Norway,0,0,0,0,0,0,37,0
Morocco->Norway,0,0,0,0,6,0,0,0
Morocco->Singapore,0,0,0,0,23,0,4,0
Morocco->DemocraticRepublicoftheCongo,0,0,0,0,43,0,0,0
Morocco->Netherlands,0,0,0,0,0,58,0,0
DemocraticRepublicoftheCongo->Sweden,0,0,0,20,30,14,0,0
Sweden->Hungary,0,0,0,0,19,11,0,0
USA->Sweden,0,0,33,0,44,32,0,0
Denmark->BosniaandHerzegovina,0,0,0,0,0,14,0,0
Denmark->Oman,0,0,0,0,0,52,0,0
Denmark->Belgium,0,0,0,0,0,70,0,0
Denmark->Spain,0,0,0,0,4,44,0,0
Denmark->Hungary,0,0,0,0,0,25,0,0
CzechRepublic->Germany,0,0,0,46,0,11,17,0
Austria->Hungary,0,0,0,0,0,18,20,0
Austria->Italy,0,0,0,14,0,18,29,0
Israel->Hungary,0,0,0,0,0,4,32,0
NewZealand->USA,0,0,0,0,53,0,53,0
NewZealand->Israel,0,0,0,0,53,0,0,0
Germany->Colombia,0,0,0,0,19,86,0,0
Colombia->Hungary,0,0,0,0,18,46,0,0
Colombia->Austria,0,0,0,0,0,22,0,0
Norway->Denmark,0,0,0,0,27,13,0,0
Norway->Netherlands,0,0,15,0,0,12,0,0
Netherlands->Colombia,0,0,0,0,0,30,0,0
Austria->BosniaandHerzegovina,0,0,0,0,0,0,23,0
Austria->France,0,0,0,0,11,2,0,0
Austria->Finland,0,0,0,0,34,0,34,0
Denmark->Chile,0,0,0,0,24,37,0,0
Chile->Canada,0,0,0,0,39,0,0,0
Hungary->France,0,0,0,0,1,37,0,0
UnitedArabEmirates->India,0,0,0,2,5,0,0,0
India->Norway,0,0,0,0,22,19,0,0
Norway->Canada,0,0,0,0,0,38,0,0
Oman->Kazakhstan,0,0,0,0,0,72,0,0
